# Region      : cellZone box
# Cells       : 2720208
# Volume      : 5.251462e-06
# Time        	volAverage(vorticity)
733           	1.741043e+00
734           	1.537978e+00
735           	1.287280e+00
736           	9.845457e-01
737           	6.578492e-01
738           	3.770520e-01
739           	3.546042e-01
740           	5.381710e-01
741           	7.075277e-01
742           	8.365536e-01
743           	9.478884e-01
744           	1.051591e+00
745           	1.158508e+00
746           	1.254868e+00
747           	1.287645e+00
748           	1.216559e+00
749           	1.037389e+00
750           	7.588773e-01
751           	4.154701e-01
752           	6.594596e-02
753           	4.052449e-01
754           	8.164506e-01
755           	1.176911e+00
756           	1.448255e+00
757           	1.620032e+00
758           	1.681503e+00
759           	1.646524e+00
760           	1.500386e+00
761           	1.247438e+00
762           	9.205971e-01
763           	5.714745e-01
764           	2.791208e-01
765           	3.467434e-01
766           	6.579403e-01
767           	9.674846e-01
768           	1.231594e+00
769           	1.413686e+00
770           	1.511307e+00
771           	1.518192e+00
772           	1.428333e+00
773           	1.225069e+00
774           	9.109697e-01
775           	5.155071e-01
776           	2.052927e-01
777           	4.941341e-01
778           	8.568702e-01
779           	1.159882e+00
780           	1.420194e+00
781           	1.601370e+00
782           	1.663025e+00
783           	1.591108e+00
784           	1.411860e+00
785           	1.181548e+00
786           	9.644180e-01
787           	8.198207e-01
788           	7.840459e-01
789           	8.471226e-01
790           	9.687366e-01
791           	1.109963e+00
792           	1.232440e+00
793           	1.313387e+00
794           	1.339785e+00
795           	1.294809e+00
796           	1.187188e+00
797           	1.038083e+00
798           	9.003383e-01
799           	8.272818e-01
800           	8.225502e-01
