# Region      : cellZone box
# Cells       : 2720208
# Volume      : 5.251462e-06
# Time        	volAverage(U)
572           	1.628647e+00
573           	1.628813e+00
574           	1.628960e+00
575           	1.629027e+00
576           	1.629042e+00
577           	1.629055e+00
578           	1.629094e+00
579           	1.629121e+00
580           	1.629116e+00
581           	1.629068e+00
582           	1.628987e+00
583           	1.628843e+00
584           	1.628676e+00
585           	1.628529e+00
586           	1.628427e+00
587           	1.628369e+00
588           	1.628362e+00
589           	1.628446e+00
590           	1.628606e+00
591           	1.628791e+00
592           	1.628920e+00
593           	1.628950e+00
594           	1.628904e+00
595           	1.628800e+00
596           	1.628643e+00
597           	1.628500e+00
598           	1.628462e+00
599           	1.628563e+00
600           	1.628716e+00
601           	1.628857e+00
602           	1.628917e+00
603           	1.628920e+00
604           	1.628882e+00
605           	1.628825e+00
606           	1.628767e+00
607           	1.628756e+00
608           	1.628776e+00
609           	1.628807e+00
610           	1.628850e+00
611           	1.628875e+00
612           	1.628899e+00
613           	1.628913e+00
614           	1.628927e+00
615           	1.628962e+00
616           	1.629012e+00
617           	1.629045e+00
618           	1.628991e+00
619           	1.628882e+00
620           	1.628772e+00
621           	1.628683e+00
622           	1.628624e+00
623           	1.628622e+00
624           	1.628668e+00
625           	1.628750e+00
626           	1.628871e+00
627           	1.628972e+00
628           	1.629031e+00
629           	1.629055e+00
630           	1.629048e+00
631           	1.628994e+00
632           	1.628909e+00
633           	1.628820e+00
634           	1.628745e+00
635           	1.628691e+00
636           	1.628689e+00
637           	1.628738e+00
638           	1.628829e+00
639           	1.628896e+00
640           	1.628898e+00
641           	1.628848e+00
642           	1.628835e+00
643           	1.628887e+00
644           	1.628973e+00
645           	1.629014e+00
646           	1.629014e+00
647           	1.628983e+00
648           	1.628940e+00
649           	1.628916e+00
650           	1.628902e+00
651           	1.628868e+00
652           	1.628804e+00
653           	1.628716e+00
654           	1.628679e+00
655           	1.628701e+00
656           	1.628765e+00
657           	1.628828e+00
658           	1.628905e+00
659           	1.628979e+00
660           	1.629046e+00
661           	1.629076e+00
662           	1.629067e+00
663           	1.629011e+00
664           	1.628933e+00
665           	1.628893e+00
666           	1.628885e+00
667           	1.628888e+00
668           	1.628854e+00
669           	1.628793e+00
670           	1.628735e+00
671           	1.628682e+00
672           	1.628652e+00
673           	1.628697e+00
674           	1.628798e+00
675           	1.628933e+00
676           	1.629053e+00
677           	1.629135e+00
678           	1.629200e+00
679           	1.629268e+00
680           	1.629278e+00
681           	1.629187e+00
682           	1.629016e+00
683           	1.628827e+00
684           	1.628670e+00
685           	1.628569e+00
686           	1.628518e+00
687           	1.628524e+00
688           	1.628612e+00
689           	1.628755e+00
690           	1.628866e+00
691           	1.628916e+00
692           	1.628952e+00
693           	1.629002e+00
694           	1.629050e+00
695           	1.629086e+00
696           	1.629108e+00
697           	1.629106e+00
698           	1.629048e+00
699           	1.628961e+00
700           	1.628860e+00
701           	1.628750e+00
702           	1.628683e+00
703           	1.628692e+00
704           	1.628758e+00
705           	1.628849e+00
706           	1.628927e+00
707           	1.628951e+00
708           	1.628931e+00
709           	1.628884e+00
710           	1.628802e+00
711           	1.628746e+00
712           	1.628720e+00
713           	1.628730e+00
714           	1.628799e+00
715           	1.628923e+00
716           	1.629041e+00
717           	1.629114e+00
718           	1.629098e+00
719           	1.629077e+00
720           	1.629086e+00
721           	1.629125e+00
722           	1.629169e+00
723           	1.629179e+00
724           	1.629119e+00
725           	1.629007e+00
726           	1.628892e+00
727           	1.628771e+00
728           	1.628667e+00
729           	1.628625e+00
730           	1.628686e+00
731           	1.628808e+00
732           	1.628922e+00
733           	1.629005e+00
734           	1.629063e+00
735           	1.629075e+00
736           	1.629001e+00
737           	1.628881e+00
738           	1.628780e+00
739           	1.628684e+00
740           	1.628587e+00
741           	1.628521e+00
742           	1.628534e+00
743           	1.628627e+00
744           	1.628803e+00
745           	1.628979e+00
746           	1.629082e+00
747           	1.629108e+00
748           	1.629119e+00
749           	1.629118e+00
750           	1.629114e+00
751           	1.629115e+00
752           	1.629068e+00
753           	1.628962e+00
754           	1.628849e+00
755           	1.628747e+00
756           	1.628700e+00
757           	1.628708e+00
758           	1.628708e+00
759           	1.628699e+00
760           	1.628695e+00
761           	1.628668e+00
762           	1.628668e+00
763           	1.628728e+00
764           	1.628815e+00
765           	1.628914e+00
766           	1.628987e+00
767           	1.628987e+00
768           	1.628912e+00
769           	1.628788e+00
770           	1.628679e+00
771           	1.628609e+00
772           	1.628616e+00
773           	1.628753e+00
774           	1.628975e+00
775           	1.629207e+00
776           	1.629370e+00
777           	1.629420e+00
778           	1.629347e+00
779           	1.629167e+00
780           	1.628945e+00
781           	1.628750e+00
782           	1.628590e+00
783           	1.628501e+00
784           	1.628506e+00
785           	1.628614e+00
786           	1.628795e+00
787           	1.628980e+00
788           	1.629126e+00
789           	1.629206e+00
790           	1.629214e+00
791           	1.629121e+00
792           	1.628942e+00
793           	1.628752e+00
794           	1.628583e+00
795           	1.628466e+00
796           	1.628428e+00
797           	1.628488e+00
798           	1.628637e+00
799           	1.628834e+00
800           	1.629067e+00
