# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(vorticity)
672           	1.508471e-01
673           	1.817868e-01
674           	4.976488e-01
675           	7.694878e-01
676           	9.763905e-01
677           	1.103872e+00
678           	1.141616e+00
679           	1.080638e+00
680           	9.166654e-01
681           	6.616135e-01
682           	3.483650e-01
683           	1.309812e-01
684           	3.729699e-01
685           	6.376851e-01
686           	8.347205e-01
687           	9.426594e-01
688           	9.497102e-01
689           	8.578679e-01
690           	6.832892e-01
691           	4.493100e-01
692           	2.385489e-01
693           	3.515464e-01
694           	6.387828e-01
695           	8.908291e-01
696           	1.047268e+00
697           	1.089879e+00
698           	1.016033e+00
699           	8.273867e-01
700           	5.452707e-01
701           	2.861014e-01
702           	4.577632e-01
703           	8.392182e-01
704           	1.190398e+00
705           	1.458601e+00
706           	1.625335e+00
707           	1.686964e+00
708           	1.640547e+00
709           	1.482265e+00
710           	1.213292e+00
711           	8.508128e-01
712           	4.266860e-01
713           	5.484895e-02
714           	4.470805e-01
715           	7.974869e-01
716           	1.048456e+00
717           	1.183247e+00
718           	1.198953e+00
719           	1.100101e+00
720           	8.973137e-01
721           	6.142471e-01
722           	3.000293e-01
723           	2.178064e-01
724           	5.169015e-01
725           	8.134903e-01
726           	1.028694e+00
727           	1.133392e+00
728           	1.113687e+00
729           	9.685875e-01
730           	7.117749e-01
731           	3.728716e-01
732           	4.119448e-02
733           	4.359413e-01
734           	8.340660e-01
735           	1.190766e+00
736           	1.482967e+00
737           	1.681350e+00
738           	1.756173e+00
739           	1.688112e+00
740           	1.470271e+00
741           	1.110277e+00
742           	6.397656e-01
743           	1.431337e-01
744           	4.684539e-01
745           	9.620827e-01
746           	1.375346e+00
747           	1.673917e+00
748           	1.837743e+00
749           	1.859699e+00
750           	1.735194e+00
751           	1.474651e+00
752           	1.098522e+00
753           	6.369554e-01
754           	1.452774e-01
755           	4.208401e-01
756           	9.124034e-01
757           	1.329510e+00
758           	1.625231e+00
759           	1.767128e+00
760           	1.747125e+00
761           	1.576527e+00
762           	1.270656e+00
763           	8.517422e-01
764           	3.485753e-01
765           	2.028080e-01
766           	7.422520e-01
767           	1.220932e+00
768           	1.591379e+00
769           	1.816795e+00
770           	1.880269e+00
771           	1.782457e+00
772           	1.534543e+00
773           	1.162066e+00
774           	7.137002e-01
775           	3.131204e-01
776           	4.855844e-01
777           	9.339549e-01
778           	1.343474e+00
779           	1.650859e+00
780           	1.817390e+00
781           	1.825431e+00
782           	1.681821e+00
783           	1.410615e+00
784           	1.055283e+00
785           	7.158147e-01
786           	6.494807e-01
787           	9.537069e-01
788           	1.350878e+00
789           	1.689953e+00
790           	1.909004e+00
791           	1.981740e+00
792           	1.904030e+00
793           	1.688415e+00
794           	1.357467e+00
795           	9.394861e-01
796           	4.811308e-01
797           	2.404018e-01
798           	6.269533e-01
799           	1.058764e+00
800           	1.411594e+00
