# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(k)
463           	1.922917e-03
464           	1.927190e-03
465           	1.931605e-03
466           	1.935207e-03
467           	1.938233e-03
468           	1.940313e-03
469           	1.942399e-03
470           	1.943919e-03
471           	1.945256e-03
472           	1.947196e-03
473           	1.948513e-03
474           	1.949218e-03
475           	1.948917e-03
476           	1.948713e-03
477           	1.948723e-03
478           	1.949731e-03
479           	1.951907e-03
480           	1.954734e-03
481           	1.959038e-03
482           	1.963999e-03
483           	1.968644e-03
484           	1.971922e-03
485           	1.974347e-03
486           	1.976039e-03
487           	1.978179e-03
488           	1.979837e-03
489           	1.980850e-03
490           	1.981159e-03
491           	1.980291e-03
492           	1.978926e-03
493           	1.976865e-03
494           	1.973640e-03
495           	1.972016e-03
496           	1.971912e-03
497           	1.972987e-03
498           	1.974713e-03
499           	1.975879e-03
500           	1.976197e-03
501           	1.976108e-03
502           	1.975477e-03
503           	1.975164e-03
504           	1.974979e-03
505           	1.975230e-03
506           	1.974410e-03
507           	1.973254e-03
508           	1.971727e-03
509           	1.968758e-03
510           	1.965013e-03
511           	1.961575e-03
512           	1.959160e-03
513           	1.957541e-03
514           	1.958067e-03
515           	1.959778e-03
516           	1.961654e-03
517           	1.963508e-03
518           	1.965326e-03
519           	1.965326e-03
520           	1.955099e-03
521           	1.952185e-03
522           	1.952936e-03
523           	1.955489e-03
524           	1.958147e-03
525           	1.960376e-03
526           	1.961596e-03
527           	1.961971e-03
528           	1.961465e-03
529           	1.961006e-03
530           	1.961001e-03
531           	1.961641e-03
532           	1.963285e-03
533           	1.966509e-03
534           	1.969960e-03
535           	1.972756e-03
536           	1.975221e-03
537           	1.976625e-03
538           	1.976805e-03
539           	1.976497e-03
540           	1.976122e-03
541           	1.975368e-03
542           	1.974088e-03
543           	1.973659e-03
544           	1.973707e-03
545           	1.973552e-03
546           	1.973028e-03
547           	1.973042e-03
548           	1.972872e-03
549           	1.973510e-03
550           	1.974990e-03
551           	1.976946e-03
552           	1.979087e-03
553           	1.980892e-03
554           	1.981858e-03
555           	1.981324e-03
556           	1.980270e-03
557           	1.978698e-03
558           	1.976940e-03
559           	1.974780e-03
560           	1.972476e-03
561           	1.970745e-03
562           	1.969084e-03
563           	1.967370e-03
564           	1.966654e-03
565           	1.966968e-03
566           	1.967712e-03
567           	1.968712e-03
568           	1.970502e-03
569           	1.973429e-03
570           	1.977345e-03
571           	1.980806e-03
572           	1.983208e-03
573           	1.984687e-03
574           	1.985849e-03
575           	1.986536e-03
576           	1.987127e-03
577           	1.988012e-03
578           	1.989633e-03
579           	1.991479e-03
580           	1.993155e-03
581           	1.994305e-03
582           	1.994857e-03
583           	1.995367e-03
584           	1.996005e-03
585           	1.996888e-03
586           	1.998163e-03
587           	1.999991e-03
588           	2.002358e-03
589           	2.004496e-03
590           	2.005525e-03
591           	2.005785e-03
592           	2.005874e-03
593           	2.006474e-03
594           	2.007788e-03
595           	2.009951e-03
596           	2.012390e-03
597           	2.014674e-03
598           	2.016340e-03
599           	2.017893e-03
600           	2.018773e-03
601           	2.019483e-03
602           	2.020332e-03
603           	2.021471e-03
604           	2.022794e-03
605           	2.024063e-03
606           	2.025293e-03
607           	2.026747e-03
608           	2.027189e-03
609           	2.027336e-03
610           	2.026850e-03
611           	2.026625e-03
612           	2.026891e-03
613           	2.027264e-03
614           	2.027696e-03
615           	2.027583e-03
616           	2.027063e-03
617           	2.026767e-03
618           	2.026735e-03
619           	2.027166e-03
620           	2.028455e-03
621           	2.030036e-03
622           	2.031769e-03
623           	2.033445e-03
624           	2.034203e-03
625           	2.033839e-03
626           	2.031907e-03
627           	2.028818e-03
628           	2.025576e-03
629           	2.023340e-03
630           	2.021543e-03
631           	2.020869e-03
632           	2.021021e-03
633           	2.021878e-03
634           	2.023542e-03
635           	2.026240e-03
636           	2.029870e-03
637           	2.033657e-03
638           	2.036884e-03
639           	2.040228e-03
640           	2.042871e-03
641           	2.044808e-03
642           	2.045975e-03
643           	2.046451e-03
644           	2.046415e-03
645           	2.046338e-03
646           	2.046448e-03
647           	2.046275e-03
648           	2.046547e-03
649           	2.046953e-03
650           	2.047825e-03
651           	2.048933e-03
652           	2.050066e-03
653           	2.052338e-03
654           	2.054916e-03
655           	2.057640e-03
656           	2.059940e-03
657           	2.060633e-03
658           	2.060183e-03
659           	2.058750e-03
660           	2.056650e-03
661           	2.054585e-03
662           	2.052746e-03
663           	2.052265e-03
664           	2.052297e-03
665           	2.052207e-03
666           	2.051751e-03
667           	2.051680e-03
668           	2.050994e-03
669           	2.050628e-03
670           	2.050164e-03
671           	2.049572e-03
672           	2.049156e-03
673           	2.048551e-03
674           	2.048128e-03
675           	2.047544e-03
676           	2.046570e-03
677           	2.045702e-03
678           	2.045300e-03
679           	2.045968e-03
680           	2.047483e-03
681           	2.049585e-03
682           	2.051608e-03
683           	2.054139e-03
684           	2.056037e-03
685           	2.057252e-03
686           	2.057981e-03
687           	2.057741e-03
688           	2.056748e-03
689           	2.054803e-03
690           	2.052526e-03
691           	2.049927e-03
692           	2.048257e-03
693           	2.047327e-03
694           	2.046979e-03
695           	2.047387e-03
696           	2.048385e-03
697           	2.049524e-03
698           	2.050582e-03
699           	2.051873e-03
700           	2.051959e-03
701           	2.051874e-03
702           	2.051620e-03
703           	2.051964e-03
704           	2.051835e-03
705           	2.051605e-03
706           	2.050907e-03
707           	2.049103e-03
708           	2.046634e-03
709           	2.044104e-03
710           	2.042491e-03
711           	2.042266e-03
712           	2.043586e-03
713           	2.045613e-03
714           	2.047129e-03
715           	2.048840e-03
716           	2.049864e-03
717           	2.050681e-03
718           	2.051662e-03
719           	2.052475e-03
720           	2.054164e-03
721           	2.056113e-03
722           	2.058108e-03
723           	2.059708e-03
724           	2.061357e-03
725           	2.062988e-03
726           	2.065126e-03
727           	2.067953e-03
728           	2.070848e-03
729           	2.073941e-03
730           	2.076701e-03
731           	2.078551e-03
732           	2.079430e-03
733           	2.079150e-03
734           	2.078204e-03
735           	2.077387e-03
736           	2.076381e-03
737           	2.075014e-03
738           	2.074092e-03
739           	2.073812e-03
740           	2.073746e-03
741           	2.073995e-03
742           	2.074611e-03
743           	2.075902e-03
744           	2.078204e-03
745           	2.081154e-03
746           	2.084577e-03
747           	2.088658e-03
748           	2.092616e-03
749           	2.095061e-03
750           	2.096416e-03
751           	2.096012e-03
752           	2.094509e-03
753           	2.092438e-03
754           	2.090226e-03
755           	2.088015e-03
756           	2.086507e-03
757           	2.085495e-03
758           	2.084944e-03
759           	2.084037e-03
760           	2.083772e-03
761           	2.084450e-03
762           	2.085644e-03
763           	2.088058e-03
764           	2.091328e-03
765           	2.094461e-03
766           	2.097359e-03
767           	2.099709e-03
768           	2.101129e-03
769           	2.101351e-03
770           	2.100180e-03
771           	2.098083e-03
772           	2.095723e-03
773           	2.092424e-03
774           	2.088784e-03
775           	2.085981e-03
776           	2.083566e-03
777           	2.082670e-03
778           	2.083025e-03
779           	2.084509e-03
780           	2.085852e-03
781           	2.086646e-03
782           	2.087061e-03
783           	2.087518e-03
784           	2.088219e-03
785           	2.089618e-03
786           	2.092153e-03
787           	2.094413e-03
788           	2.095672e-03
789           	2.095572e-03
790           	2.093509e-03
791           	2.090029e-03
792           	2.086113e-03
793           	2.083007e-03
794           	2.081147e-03
795           	2.080427e-03
796           	2.081268e-03
797           	2.082544e-03
798           	2.084245e-03
799           	2.085967e-03
800           	2.087309e-03
